,S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,
,,                                        117,,LEMF,,,                                        9.69,,                                        0.01,,                                        0.10,,                                        9.50,,                                        9.69,,                                        9.50,,"                                        13,500.00",,                                        9.68,
,,                                        118,,LICN,,,"                                        1,385.00",,                                        15.90,,                                        1.16,,"                                        1,375.00",,"                                        1,385.00",,"                                        1,369.00",,"                                        3,175.00",,"                                        1,369.10",
,,                                        119,,LLBS,,,"                                        1,090.00",,                                        24.00,,                                        2.25,,"                                        1,060.00",,"                                        1,099.00",,"                                        1,060.00",,"                                        2,259.00",,"                                        1,066.00",
,,                                        120,,LSL,,,                                        168.50,,                                        -1.50,,                                        -0.88,,                                        171.00,,                                        171.90,,                                        164.00,,"                                        126,339.00",,                                        170.00,
,,                                        121,,LUK,,,                                        8.67,,                                        -0.15,,                                        -1.70,,                                        8.99,,                                        8.99,,                                        8.65,,"                                        3,100.00",,                                        8.82,
,,                                        122,,LVF2,,,                                        8.56,,                                        0.30,,                                        3.63,,                                        8.20,,                                        8.56,,                                        8.20,,"                                        1,700.00",,                                        8.26,
,,                                        123,,MAKAR,,,                                        374.90,,                                        9.90,,                                        2.71,,                                        365.60,,                                        377.20,,                                        365.60,,"                                        13,953.00",,                                        365.00,
,,                                        124,,MANDU,,,                                        848.00,,                                        -7.00,,                                        -0.82,,                                        872.10,,                                        872.10,,                                        846.00,,"                                        12,751.00",,                                        855.00,
,,                                        125,,MBJC,,,                                        303.00,,                                        -1.00,,                                        -0.33,,                                        300.00,,                                        309.00,,                                        299.20,,"                                        12,184.00",,                                        304.00,
,,                                        126,,MBL,,,                                        186.00,,                                        -1.70,,                                        -0.91,,                                        186.00,,                                        190.00,,                                        184.00,,"                                        69,180.00",,                                        187.70,
,,                                        127,,MBLD87,,,                                        980.10,,                                        -19.90,,                                        -1.99,,                                        980.10,,                                        980.10,,                                        980.10,,                                        66.00,,"                                        1,000.00",
,,                                        128,,MCHL,,,                                        384.00,,                                        6.00,,                                        1.59,,                                        371.20,,                                        389.90,,                                        371.20,,"                                        7,416.00",,                                        378.00,
,,                                        129,,MDB,,,                                        487.00,,                                        9.90,,                                        2.08,,                                        485.00,,                                        495.00,,                                        480.00,,"                                        40,624.00",,                                        477.10,
,,                                        130,,MEHL,,,                                        315.00,,                                        4.00,,                                        1.29,,                                        312.00,,                                        318.00,,                                        308.00,,"                                        17,890.00",,                                        311.00,
,,                                        131,,MEL,,,                                        227.00,,                                        -1.00,,                                        -0.44,,                                        228.00,,                                        230.00,,                                        226.00,,"                                        24,080.00",,                                        228.00,
,,                                        132,,MEN,,,                                        586.00,,                                        -1.00,,                                        -0.17,,                                        587.00,,                                        590.00,,                                        580.00,,"                                        45,237.00",,                                        587.00,
,,                                        133,,MERO,,,                                        689.90,,                                        0.90,,                                        0.13,,                                        702.70,,                                        702.70,,                                        682.10,,"                                        8,169.00",,                                        689.00,
,,                                        134,,MFIL,,,                                        506.50,,                                        -1.50,,                                        -0.30,,                                        518.10,,                                        518.10,,                                        503.00,,"                                        30,240.00",,                                        508.00,
,,                                        135,,MHCL,,,                                        389.00,,                                        -3.00,,                                        -0.77,,                                        385.10,,                                        399.00,,                                        381.00,,"                                        8,238.00",,                                        392.00,
,,                                        136,,MHL,,,                                        469.20,,                                        19.20,,                                        4.27,,                                        459.00,,                                        484.00,,                                        448.00,,"                                        41,872.00",,                                        450.00,
,,                                        137,,MHNL,,,                                        233.00,,                                        -2.00,,                                        -0.85,,                                        236.00,,                                        238.00,,                                        232.00,,"                                        11,581.00",,                                        235.00,
,,                                        138,,MKCL,,,                                        955.10,,                                        86.80,,                                        10.00,,                                        870.00,,                                        955.10,,                                        867.00,,"                                        18,461.00",,                                        868.30,
,,                                        139,,MKHC,,,                                        308.00,,                                        0.00,,                                        0.00,,                                        303.20,,                                        315.00,,                                        303.20,,"                                        15,112.00",,                                        308.00,
,,                                        140,,MKHL,,,                                        427.00,,                                        -0.90,,                                        -0.21,,                                        427.00,,                                        438.60,,                                        425.00,,"                                        12,118.00",,                                        427.90,
,,                                        141,,MKJC,,,                                        465.90,,                                        9.90,,                                        2.17,,                                        465.00,,                                        480.00,,                                        455.00,,"                                        3,910.00",,                                        456.00,
,,                                        142,,MKLB,,,"                                        1,055.00",,                                        -24.00,,                                        -2.22,,"                                        1,076.00",,"                                        1,110.00",,"                                        1,055.00",,"                                        2,749.00",,"                                        1,079.00",
,,                                        143,,MLBBL,,,"                                        1,290.00",,                                        0.00,,                                        0.00,,"                                        1,290.00",,"                                        1,302.00",,"                                        1,265.00",,"                                        9,245.00",,"                                        1,290.00",
,,                                        144,,MLBL,,,                                        331.00,,                                        2.00,,                                        0.61,,                                        332.00,,                                        335.70,,                                        329.10,,"                                        34,184.00",,                                        329.00,
,,                                        145,,MLBS,,,"                                        1,354.00",,                                        25.00,,                                        1.88,,"                                        1,302.60",,"                                        1,380.00",,"                                        1,302.50",,                                        904.00,,"                                        1,329.00",
,,                                        146,,MLBSL,,,"                                        1,888.00",,                                        14.00,,                                        0.75,,"                                        1,870.00",,"                                        1,905.00",,"                                        1,865.50",,"                                        1,348.00",,"                                        1,874.00",
,,                                        147,,MMF1,,,                                        7.40,,                                        -0.05,,                                        -0.67,,                                        7.58,,                                        7.58,,                                        7.35,,"                                        14,250.00",,                                        7.45,
,,                                        148,,MMKJL,,,                                        434.60,,                                        8.60,,                                        2.02,,                                        426.00,,                                        440.00,,                                        425.90,,"                                        3,858.00",,                                        426.00,
,,                                        149,,MNBBL,,,                                        352.10,,                                        -1.50,,                                        -0.42,,                                        359.00,,                                        359.00,,                                        351.00,,"                                        24,630.00",,                                        353.60,
,,                                        150,,MND84/85,,,                                        971.50,,                                        -9.00,,                                        -0.92,,                                        971.50,,                                        971.50,,                                        971.50,,                                        25.00,,                                        980.50,
,,                                        151,,MPFL,,,                                        444.00,,                                        3.00,,                                        0.68,,                                        449.80,,                                        455.00,,                                        440.00,,"                                        34,058.00",,                                        441.00,
,,                                        152,,MSHL,,,                                        640.00,,                                        -5.00,,                                        -0.78,,                                        632.10,,                                        681.00,,                                        632.10,,"                                        2,245.00",,                                        645.00,
,,                                        153,,MSLB,,,"                                        1,280.00",,                                        -20.00,,                                        -1.54,,"                                        1,314.00",,"                                        1,314.00",,"                                        1,263.00",,"                                        1,994.00",,"                                        1,300.00",
,,                                        154,,NABBC,,,                                        589.90,,                                        19.90,,                                        3.49,,                                        558.60,,                                        600.00,,                                        558.40,,"                                        50,390.00",,                                        570.00,
,,                                        155,,NABIL,,,                                        507.90,,                                        -9.10,,                                        -1.76,,                                        523.90,,                                        523.90,,                                        500.20,,"                                        101,039.00",,                                        517.00,
,,                                        156,,NABILD87,,,"                                        1,000.00",,                                        19.50,,                                        1.99,,"                                        1,000.00",,"                                        1,000.00",,"                                        1,000.00",,                                        25.00,,                                        980.50,
,,                                        157,,NADEP,,,                                        783.00,,                                        -10.00,,                                        -1.26,,                                        808.80,,                                        808.80,,                                        776.90,,"                                        15,907.00",,                                        793.00,
,,                                        158,,NBF2,,,                                        8.51,,                                        -0.07,,                                        -0.82,,                                        8.68,,                                        8.68,,                                        8.51,,"                                        1,400.00",,                                        8.58,
,,                                        159,,NBF3,,,                                        7.51,,                                        0.00,,                                        0.00,,                                        7.51,,                                        7.66,,                                        7.36,,"                                        18,000.00",,                                        7.51,
,,                                        160,,NBL,,,                                        226.00,,                                        -1.00,,                                        -0.44,,                                        224.40,,                                        227.50,,                                        219.00,,"                                        66,700.00",,                                        227.00,
